Question,Answer,n_answers
Требования к приему на работу молодежи в пределах установленной квоты.,"1) Прием на работу молодежи в размере 2 процентов от среднесписочной численности работников.


2) Ежеквартальное представление информации о выполнении квоты для приема на работу молодежи посредством Интерактивного портала Центра занятости населения города Москвы (https://czn.mos.ru/).


",2
"Соблюдение поставщиками социальных услуг, включенными в Реестр поставщиков социальных услуг города Москвы, Порядка предоставления гражданам социальных услуг в городе Москве требований к объему, качеству социальных услуг, порядку и условиям их оказания (в зависимости от форм предоставления социальных услуг).","1) Соблюдение требований государственных санитарно-эпидемиологических правил и нормативов.


2) Предоставление социальных услуг получателям социальных услуг в соответствии с индивидуальными программами и условиями договоров, заключенных с получателями социальных услуг или их законными представителями.


3) Использование информации о получателях социальных услуг в соответствии с установленными законодательством Российской Федерации о персональных данных требованиями о защите персональных данных.


4) Осуществление социального сопровождения.


5) Оказание получателю социальных услуг содействия в прохождении медико-социальной экспертизы, проводимой в установленном законодательством Российской Федерации порядке федеральными учреждениями медико-социальной экспертизы.


6) Предоставление получателю социальных услуг возможность пользоваться услугами связи, в том числе сети «Интернет» и услугами почтовой связи, при получении услуг в организациях социального обслуживания.


7) Размещение информации о проведении независимой оценки качества оказания услуг организации (при ее прохождении).


8) Выделение супругам, проживающим в организации социального обслуживания, изолированного жилого помещения для совместного проживания (для стационарной формы социального обслуживания).


9) Обеспечение получателей социальных услуг возможностью свободного посещения их законными представителями, адвокатами, нотариусами, представителями общественных и (или) иных организаций, священнослужителями, а также родственниками и другими лицами в дневное и вечернее время (для стационарной формы социального обслуживания).


10) Обеспечение сохранности личных вещей и ценностей получателей социальных услуг (для стационарной формы социального обслуживания).


11) Предоставление помещений для предоставления социально-бытовых услуг, социально-медицинских услуг, социально-психологических услуг, социально-педагогических услуг, социально-правовых услуг, услуг в целях повышения коммуникативного потенциала получателей социальных услуг, имеющих ограничения жизнедеятельности (для стационарной формы и полустационарной формы социального обслуживания).


12) Соблюдение поставщиками социальных услуг, включенными в Реестр поставщиков социальных услуг города Москвы, Порядка предоставления гражданам социальных услуг в городе Москве требований к объему, качеству социальных услуг, порядку и условиям их оказания - прил. 1, 2 постановления Правительства Москвы от 26.12.2014 № 829-ПП «О социальном обслуживании граждан в городе Москве».


13) Соблюдение поставщиками социальных услуг, включенными в Реестр поставщиков социальных услуг города Москвы - прил. 4 к приказу Департамента от 01.09.2021 № 905 «Об утверждении перечня нормативных правовых актов, содержащих обязательные требования, соблюдение которых оценивается при осуществлении регионального государственного контроля (надзора) в сфере социального обслуживания».


",13
Требование по обеспечению беспрепятственного доступа инвалидов и маломобильных граждан к объектам социальной инфраструктуры.,"1) Обеспечение беспрепятственного доступа инвалидов и маломобильных граждан к объектам социальной инфраструктуры, используемым контролируемыми лицами, установленные федеральными законами и иными нормативными правовыми актами Российской Федерации, законами и иными нормативными правовыми актами города Москвы.


2) Обеспечение беспрепятственного доступа инвалидов и маломобильных граждан к объектам социальной инфраструктуры, используемым контролируемыми лицами - ст. 15, 15.1 Федерального закона от 24.11.1995 № 181-ФЗ «О социальной защите инвалидов в Российской Федерации.


3) Обеспечение беспрепятственного доступа инвалидов и маломобильных граждан к объектам социальной инфраструктуры, используемым контролируемыми лицами - п. 1, 3, 9, 10 приказа Министерства труда и социальной защиты Российской Федерации от 30.07.2015 № 527н «Об утверждении Порядка обеспечения условий доступности для инвалидов объектов и предоставляемых услуг в сфере труда, занятости и социальной защиты населения, а также оказания им при этом необходимой помощи».


",3
"Общие требования федерального законодательства к деятельности организаций, индидуальных предпринимателей, осуществляющих оказание социальных услуг.","1) Осуществление деятельности в соответствии с требованиями Федерального закона № 442-ФЗ.


2) Соблюдение поставщиками социальных услуг, включенными в Реестр поставщиков социальных услуг города Москвы, требований федерального законодательства - с п. 1 по 13 ч. 1 ст. 12, с ч. 1 по 5 ст. 16, с ч. 1 по 3 ст. 17 Федерального закона от 28.12.2013 № 442-ФЗ «Об основах социального обслуживания граждан в Российской Федерации».


",2
Требования к информационной открытости поставщиков социальных услуг.,"1) Размещение на сайте информации о дате государственной регистрации, об учредителе (учредителях), о месте нахождения юридического лица (филиалах) (при наличии), месте нахождения фактической деятельности организации, режиме и графике работы, контактных телефонах и адресах электронной почты.


2) Размещение на сайте информации о структуре и органах управления организации социального обслуживания.


3) Размещение на сайте информации о наименовании структурных подразделений (органов управления) (при наличии).


4) Размещение на сайте информации - фамилии, имена, отчества и должности руководителей структурных подразделений, положений о структурных подразделениях (при наличии).


5) Размещение на сайте информации о месте нахождения обособленных структурных подразделений (филиалов).


6) Размещение на сайте информации о персональном составе работников (с указанием с их согласия уровня образования, квалификации и опыта работы).


7) Размещение на сайте информации о материально-техническом обеспечении предоставления социальных услуг (о наличии оборудованных помещений для предоставления социальных услуг по видам социальных услуг и формам социального обслуживания, в том числе библиотек, объектов спорта, наличии средств обучения и воспитания, об условиях питания и обеспечения охраны здоровья получателей социальных услуг, доступе к информационным системам в сфере социального обслуживания и сети «Интернет»).


8) Размещение на сайте информации о перечне предоставляемых социальных услуг по видам социальных услуг и формам социального обслуживания, о тарифах на социальные услуги по видам социальных услуг и формам социального обслуживания.


9) Размещение на сайте информации о порядке и условиях предоставления социальных услуг бесплатно и за плату по видам социальных услуг и формам социального обслуживания с приложением образцов договоров о предоставлении социальных услуг бесплатно и за плату.


10) Размещение на сайте информации о численности получателей социальных услуг по формам социального обслуживания и видам социальных услуг за счет бюджетных ассигнований бюджетов субъектов Российской Федерации, численности получателей социальных услуг по формам социального обслуживания и видам социальных услуг за счет средств физических и (или) юридических лиц.


11) Размещение на сайте информации о количестве свободных мест для приема получателей социальных услуг по формам социального обслуживания, финансируемых за счет бюджетных ассигнований бюджетов субъектов Российской Федерации, и количестве свободных мест для приема получателей социальных услуг по формам социального обслуживания за счет средств физических и (или) юридических лиц.


12) Размещение на сайте информации об объеме предоставляемых социальных услуг за счет бюджетных ассигнований бюджетов субъектов Российской Федерации и объеме предоставляемых социальных услуг за счет средств физических и (или) юридических лиц.


13) Размещение на сайте информации о наличии лицензий на осуществление деятельности, подлежащей лицензированию в соответствии с законодательством Российской Федерации (с приложением электронного образа документов).


14) Размещение на сайте информации о финансово-хозяйственной деятельности (с приложением электронного образа плана финансово-хозяйственной деятельности, отчета).


15) Размещение на сайте информации о правилах внутреннего распорядка для получателей социальных услуг, о правилах внутреннего трудового распорядка и коллективном договоре (с приложением электронного образа документов).


16) Размещение на сайте информации о наличии предписаний органов, осуществляющих государственный контроль в сфере социального обслуживания, и об отчетах об исполнении таких предписаний.


17) Размещение информации на сайте о проведении независимой оценки качества оказания услуг организациями социального обслуживания (при прохождении).


18) Актуализация в срок сведений в связи с измененеием информации.


19) Размещение наглядной информации на сайте, ссылок на федеральные и региональные информационные системы.


",19
Требования к приему на работу инвалидов в пределах установленной квоты.,"1) Прием на работу инвалидов в размере 2 процентов от среднесписочной численности работников.


2) Ежемесячное представление информации о выполнении квоты для приема на работу инвалидов посредством единой цифровой платформы в сфере занятости и трудовых отношений ""Работа в России"" (https://trudvsem.ru/) или Интерактивного портала Центра занятости населения города Москвы (https://czn.mos.ru/).


",2
Требования к привлечению денежных средств,"1) ЖСК обязан получить разрешение на строительство объекта.


2) ЖСК обязан оформить земельно-правовые отношения.


",2
Требования к подаче ежеквартальной отчетности,"1) ЖСК обязан подавать ежеквартальную отчетность в контролирующий орган посредствам ЕИСЖС.


",1
Требования к раскрытию информации в единой информационной системе жилищного строительства (ЕИСЖС),"1) ЖСК обязан размещать в единой информационной системе жилищного строительства (ЕИСЖС) документы, подтверждающие права на земельный участок.


2) ЖСК обязан размещать в единой информационной системе жилищного строительства (ЕИСЖС) реестр членов жилищно-строительного кооператива.


3) ЖСК обязан размещать в единой информационной системе жилищного строительства (ЕИСЖС) разрешение на строительство.


4) ЖСК обязан размещать в единой информационной системе жилищного строительства (ЕИСЖС) местоположение строящегося многоквартирного дома и его описание, подготовленное в соответствии с проектной документацией, на основании которой выдано разрешение на строительство.


5) ЖСК обязан размещать в единой информационной системе жилищного строительства (ЕИСЖС) предполагаемый срок получения разрешения на ввод в эксплуатацию строящегося многоквартирного дома.


6) ЖСК обязан размещать в единой информационной системе жилищного строительства (ЕИСЖС) количество жилых помещений в строящемся многоквартирном доме, описание технических характеристик таких жилых помещений в соответствии с проектной документацией, а также изменение указанной информации в случае внесения в проектную документацию соответствующих изменений.


",6
Требования к привлечению денежных средств,"1) Застройщик не вправе одновременно осуществлять деятельность по привлечению денежных средств участников долевого строительства для строительства объектов недвижимости по нескольким ГПЗУ или утвержденным проектам планировки территории либо по нескольким договорам о комплексном развитии территории.


2) Застройщик вправе осуществлять строительство объектов долевого строительства в пределах одного или нескольких разрешений на строительство с привлечением денежных средств участников долевого строительства при соблюдении размещения денежных средств дольщиков на счете эскроу или при условии исполнения обязанности по уплате отчислений (взносов) в компенсационный фонд.


3) Застройщик обязан иметь на банковском счете денежные средства в размере не менее 10% от проектной стоимости строительства либо кредитный договор в размере не менее 40% от проектной стоимости строительства.


4) У застройщика должны отсутствовать кредиты, займы, ссуды не связанные со строительством объекта долевого строительства.


5) Застройщиком не должны быть осуществлены выпуск или выдача ценных бумаг, за исключением акций.


6) У застройщика должно отсутствовать имущество, которое используется для обеспечения для обеспечения исполнения обязательств третьих лиц, а также для обеспечения исполнения собственных обязательств застройщика, не связанных с привлечением денежных средств участников и со строительством объекта.


7) У застройщика должны отсутствовать обязательства по обеспечению исполнения обязательств третьих лиц.


8) Застройщик должен соблюдать нормативы финансовой устойчивости.


9) В отношении юридического лица - застройщика должно отсутствовать решение арбитражного суда о приостановлении его деятельности в качестве меры административного наказания.


10) Сведения о застройщике должны отсутствовать в реестре недобросовестных поставщиков.


11) Сведения о застройщике должны отсутствовать в реестре недобросовестных участников аукциона на право заключения договора аренды земельного участка.


12) Руководитель юридического лица - застройщика либо руководитель исполнительного органа юридического лица - застройщика, физическое лицо, которое в конечном счете прямо или косвенно (через третьих лиц) владеет (имеет в капитале участие более чем пять процентов) корпоративным юридическим лицом - застройщиком, а также главный бухгалтер должны соответствовать требованиям ст. 3.2 Федерального закона № 214-ФЗ.


13) Наименование застройщика должно содержать слова ""специализированный застройщик"".


14) Застройщик должен соответствовать установленным требованиям к опыту строительства объекта долевого строительства.


15) У застройщика должны отсутствовать обязательства, не связанные с привлечением средств дольщиков, которые превышают 1% проектной стоимости.


16) У застройщика должна отсутствовать задолженность по обязательным платежам.


17) В отношении юридического лица - застройщика должно отсутствовать решение арбитражного суда о введении одной из процедур, применяемых в деле о банкротстве.


18) В отношении юридического лица - застройщика не должны проводиться процедуры ликвидации.


19) У застройщика размер собственных средств застройщика должен составлять не менее чем десять процентов от проектной стоимости строительства.


20) Застройщик обязан оформить проектную документацию и положительное заключение экспертизы проектной документации.


21) Застройщик обязан оформить земельно-правовые отношения.


22) Застройщик обязан получить разрешение на строительство объекта.


23) Застройщик обязан заключать договор участия в долевом строительстве (ДДУ).


24) Застройщик обязан получить заключение о соответствии застройщика и проектной декларации требованиям Федерального закона от 30.12.2004 № 214-ФЗ ""Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости.


",24
